연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최, 관람인원(명) ,수입금(원),사용일수(일)
200,2019-09-01 19:00,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,28024,"62,535,658",1
201,2019-09-15 17:00,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,15236,"44,995,210",1
202,2019-09-25 19:00,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,8429,"39,306,280",1
203,2019-09-29 15:00,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,13914,"60,876,030",1
204,2019-10-08 11:00,기타축구,제100회 전국체육대회,제100회 전국체육대회 4강 1차전,서울특별시,300,"2,769,440",2
205,2019-10-08 13:00,기타축구,제100회 전국체육대회,제100회 전국체육대회 4강 2차전,서울특별시,350,,
206,2019-10-10 14:00,기타축구,제100회 전국체육대회,제100회 전국체육대회 결승,서울특별시,300,,1
207,2019-10-16 9:00,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 1경기,서울특별시,100,"354,510",2
208,2019-10-16 10:00,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 2경기,서울특별시,100,,
209,2019-10-16 11:00,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 3경기,서울특별시,100,,
210,2019-10-16 14:00,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 4경기,서울특별시,100,,
211,2019-10-18 10:00,기타축구,제39회 장애인체전,제39회 장애인체전 4강전 1경기,서울특별시,200,,1
212,2019-10-18 11:00,기타축구,제39회 장애인체전,제39회 장애인체전 4강전 2경기,서울특별시,200,,
213,2019-10-19 10:00,기타축구,제39회 장애인체전,제39회 장애인체전 결승,서울특별시,200,,1
214,2019-11-03 15:00,K리그,K리그1,2019 K리그1 파이널 서울vs울산,(주)GS스포츠,19813,"68,202,520",1
215,2019-11-23 15:00,K리그,K리그1,2020 K리그1 파이널 서울vs포항,(주)GS스포츠,16783,"46,329,880",1
216,2020-01-28 19:00,기타축구,ACL,ACL플레이오프 서울VS케다FA,(주)GS스포츠,4510,"26,298,400",2
217,2020-02-18 19:00,기타축구,ACL,ACL 서울VS멜버른,(주)GS스포츠,4354,"30,671,040",2
218,2020-05-17 19:00,K리그,K리그1,2020 K리그1 서울vs광주,(주)GS스포츠,0,"21,223,160",2
219,2020-05-31 16:30,K리그,K리그1,2020 K리그1 서울vs성남,(주)GS스포츠,0,"21,376,390",1
220,2020-06-06 16:30,K리그,K리그1,2020 K리그1 서울vs전북,(주)GS스포츠,0,"21,260,110",1
221,2020-06-20 19:00,K리그,K리그1,2020 K리그1 서울vs울산,(주)GS스포츠,0,"19,165,560",1
222,2020-06-27 19:00,K리그,K리그1,2020 K리그1 서울vs인천,(주)GS스포츠,0,"19,334,090",1
223,2020-07-18 20:00,K리그,K리그1,2020 K리그1 서울vs포항,(주)GS스포츠,0,"19,461,650",1
224,2020-07-29 19:30,K리그,FA컵,2020  하나은행 FA컵 8강전 서울vs포항,(주)GS스포츠,0,"6,340,250",1
225,2020-08-07 20:00,K리그,K리그1,2020 K리그1 서울vs강원,(주)GS스포츠,2312,"26,673,400",1
226,2020-08-15 19:00,K리그,K리그1,2020 K리그1 서울vs상주,(주)GS스포츠,2678,"26,975,750",1
227,2020-09-05 19:00,K리그,K리그1,2020 K리그1 서울vs부산,(주)GS스포츠,0,"19,098,910",1
228,2020-09-13 17:30,K리그,K리그1,2020 K리그1 서울vs수원,(주)GS스포츠,0,"19,065,370",1
229,2020-09-20 15:00,K리그,K리그1,2020 K리그1 서울vs대구,(주)GS스포츠,0,"18,390,560",1
230,2020-10-04 16:30,K리그,K리그1,2020 K리그1 파이널 서울vs부산,(주)GS스포츠,0,"19,122,280",1
231,2020-10-24 14:00,K리그,K리그1,2020 K리그1 파이널 서울vs강원,(주)GS스포츠,2621,"26,138,460",1
232,2020-10-31 15:00,K리그,K리그1,2020 K리그1 파이널 서울vs인천,(주)GS스포츠,5485,"30,852,580",1
